rows,reason,prediction,prediction_name,direction,normalized_item,example_item,example_description,example_provider,mean_top1
2,low_confidence,EXP-15.5,Servicios Agricolas,COMPRAS,deducible,DEDUCIBLE,,COMERCIAL E INVERSIONES SERVICID LTDA.,0.1671
2,low_confidence,EXP-15.5,Servicios Agricolas,COMPRAS,servicio de purines,servicio de purines,fdo raices,SILVOAGROPECUARIO YERKO VERA CAMPOS EMPRESA INDIVIDUAL DE RESPONSABILI,0.6919
2,low_confidence,EXP-16.1,Ropa y Herramientas de Trabajo,COMPRAS,alicate picoloro boca curva 12 uyustools all612,ALICATE PICOLORO BOCA CURVA 12 UYUSTOOLS ALL612 -@,ALICATE PICOLORO BOCA CURVA 12 UYUSTOOLS ALL612 -@,DORIS IVONNE CASTILLO KANTER,0.114
2,low_confidence,EXP-16.1,Ropa y Herramientas de Trabajo,COMPRAS,botin norseg ns586 pro cafe 43,BOTIN NORSEG NS586 PRO CAFÉ 43,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,0.712
2,low_confidence,EXP-16.1,Ropa y Herramientas de Trabajo,COMPRAS,kit regulador flexible providus bolsa trad,KIT REGULADOR + FLEXIBLE PROVIDUS BOLSA TRAD -@,KIT REGULADOR + FLEXIBLE PROVIDUS BOLSA TRAD -@,DORIS IVONNE CASTILLO KANTER,0.1445
2,low_confidence,EXP-16.1,Ropa y Herramientas de Trabajo,COMPRAS,mano de obra calefont,MANO DE OBRA CALEFONT,,JORGEN HORACIO VEGA AGUILA,0.3422
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,aq tee bajada aquapluv tigre,AQ-TEE BAJADA AQUAPLUV TIGRE -@,AQ-TEE BAJADA AQUAPLUV TIGRE -@,DORIS IVONNE CASTILLO KANTER,0.137
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,basura maxi sacos rotos,Basura Maxi Sacos rotos,,GESTIÓN AMBIENTAL ECOGEST SPA,0.3093
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,botellon 20 litros,Botellón 20 litros,,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,0.2934
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,bushing reduccion he hi 1 1 2 x 1,-BUSHING REDUCCION HE-HI 1 1 2 X 1 -@,-BUSHING REDUCCION HE-HI 1 1 2 X 1 -@,DORIS IVONNE CASTILLO KANTER,0.1673
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,bushing reduccion he hi 1 x 1 2,-BUSHING REDUCCION HE-HI 1 X 1 2 -@,-BUSHING REDUCCION HE-HI 1 X 1 2 -@,DORIS IVONNE CASTILLO KANTER,0.1541
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,coco enganche 1 7 8 x 3 4pulgadas capacidad 2000 lbs,COCO ENGANCHE 1 7 8 X 3 4PULGADAS CAPACIDAD 2000 LBS -@,COCO ENGANCHE 1 7 8 X 3 4PULGADAS CAPACIDAD 2000 LBS -@,DORIS IVONNE CASTILLO KANTER,0.253
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,filtro combustible 6,%FILTRO COMBUSTIBLE (6),,SURAC,0.7187
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,gret pie lim,GRET PIE LIM,UN 0003,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.1367
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,hoja sierra manual sandflex 12 300mm bahco,HOJA SIERRA MANUAL SANDFLEX 12 300MM BAHCO -@,HOJA SIERRA MANUAL SANDFLEX 12 300MM BAHCO -@,DORIS IVONNE CASTILLO KANTER,0.2329
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,llave sacafiltros cadena 12 uyu ysd012,LLAVE SACAFILTROS CADENA 12 UYU YSD012 -@,LLAVE SACAFILTROS CADENA 12 UYU YSD012 -@,DORIS IVONNE CASTILLO KANTER,0.1241
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,n tee registro 110 pvc sanitario hoffens,Ñ-TEE REGISTRO 110 PVC-SANITARIO HOFFENS -@,Ñ-TEE REGISTRO 110 PVC-SANITARIO HOFFENS -@,DORIS IVONNE CASTILLO KANTER,0.4305
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,nescafe210g,NESCAFE210G,UN 0000,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.2489
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,ph fav 4x50,PH FAV 4X50,UN 0000@@Precio Antes Ahora#D#1.681,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.2339
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,sulfaquinoxalina 5 lt,SULFAQUINOXALINA 5 LT.,SULFAQUINOXALINA 5 LT.,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.4049
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,tauto broca 2 1 2 tornillo autoperf broca caja 100 un,TAUTO-BROCA 2 1 2 TORNILLO AUTOPERF BROCA CAJA 100 UN -@,TAUTO-BROCA 2 1 2 TORNILLO AUTOPERF BROCA CAJA 100 UN -@,DORIS IVONNE CASTILLO KANTER,0.1421
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,teflon multiuso 3 4 alta densidad 50mt azul aquakit,TEFLON MULTIUSO 3 4 ALTA DENSIDAD 50MT AZUL AQUAKIT-@,TEFLON MULTIUSO 3 4 ALTA DENSIDAD 50MT AZUL AQUAKIT-@,DORIS IVONNE CASTILLO KANTER,0.1926
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,triton frut,TRITON FRUT,UN 0003,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.3896
2,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,tuerca hex pu g 2 nc 1 2,TUERCA HEX. PU G-2 NC 1/2,,FERIA REMEHUE LTDA.,0.353
2,low_confidence,EXP-2.5,Otros Medicamentos,COMPRAS,clostribac 9p x 50 dosis,CLOSTRIBAC 9P x 50 DOSIS -____,____,FEROSOR AGRICOLA S.A.,0.6611
2,low_confidence,EXP-2.5,Otros Medicamentos,COMPRAS,leche entera colun 200 cc pack x 6,LECHE ENTERA COLUN 200 CC PACK x 6,,CENCOSUD RETAIL S.A.,0.5153
2,low_confidence,EXP-4.1,Parva Silo,COMPRAS,sifon lavaplatos loa hoffens s curva,SIFON LAVAPLATOS LOA HOFFENS S/CURVA -@,SIFON LAVAPLATOS LOA HOFFENS S/CURVA -@,DORIS IVONNE CASTILLO KANTER,0.517
2,low_confidence,EXP-4.1,Parva Silo,COMPRAS,sifon lavatorio regio 1 1 4 x 40mm hoffens 20018,SIFON LAVATORIO REGIO 1 1 4 X 40MM HOFFENS 20018 -@,SIFON LAVATORIO REGIO 1 1 4 X 40MM HOFFENS 20018 -@,DORIS IVONNE CASTILLO KANTER,0.2832
2,low_confidence,EXP-4.1,Parva Silo,COMPRAS,silla comedor lotta pack x2 ecocuero cafe diseno industrial,Silla Comedor Lotta Pack X2 Ecocuero Cafe Diseno Industrial,,MercadoLibre Chile LTDA,0.4164
2,low_confidence,EXP-4.2,Bolos Silo,COMPRAS,bolos chapilcahuin,BOLOS CHAPILCAHUIN,Pago por bolos total 75 bolos,SERVICIOS AGRICOLAS CORPAL SPA,0.454
2,low_confidence,EXP-4.2,Bolos Silo,COMPRAS,bolos maiten,Bolos maitén,,HECTOR ADRIAN VALENZUELA PAREDES,0.4663
2,low_confidence,EXP-4.2,Bolos Silo,COMPRAS,bolos yutreco,BOLOS YUTRECO,Total bolos 120 bolos en 19H: 6 bolos por ha valor ha : 135.000,SERVICIOS AGRICOLAS CORPAL SPA,0.4347
2,low_confidence,EXP-6.2,Nitrogeno,COMPRAS,fert smart bramadero,FERT. SMART-BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,0.4975
2,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,reactivo cmt g2 g2 dairy care chile 1 lt,REACTIVO CMT G2 -G2 DAIRY CARE CHILE_ 1 LT.___,G2 DAIRY CARE CHILE_ 1 LT.___,FEROSOR AGRICOLA S.A.,0.4903
2,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,sulfato cobre 1 kg,SULFATO COBRE 1 KG. -____,____,FEROSOR AGRICOLA S.A.,0.6471
2,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,xr xl utto fluid x 18 9l,"XR XL UTTO FLUID X 18,9L",,COMPAÑÍA AGROPECUARIA COPEVAL S.A.,0.523
2,low_confidence,EXP-9.1,Energia Electrica Riego,COMPRAS,administracion del servicio,Administración del Servicio,,Sociedad Austral de Electricidad SA,0.4532
2,low_confidence,EXP-9.1,Energia Electrica Riego,COMPRAS,ajuste para facilitar el pago en efectivo mes actual,"Ajuste para facilitar el pago en efectivo, mes actual",,Sociedad Austral de Electricidad SA,0.6379
2,low_confidence,EXP-9.1,Energia Electrica Riego,COMPRAS,ajuste para facilitar el pago en efectivo mes anterior,"Ajuste para facilitar el pago en efectivo, mes anterior",,Sociedad Austral de Electricidad SA,0.5956
2,low_confidence,EXP-9.1,Energia Electrica Riego,COMPRAS,cargo por servicio publico,Cargo por Servicio Público,,Sociedad Austral de Electricidad SA,0.5251
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,abrazadera termofusion autolock 20mm,ABRAZADERA TERMOFUSION AUTOLOCK 20MM,,COMERCIAL CLIMENT SPA,0.1437
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,adaptador so hi p termofusion 20 x 1 2,ADAPTADOR SO HI P/TERMOFUSION 20 X 1/2,,COMERCIAL CLIMENT SPA,0.1935
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,asistencia tecnica,Asistencia Tecnica,Reparacion Control Elec. Ternerera Informe N°106 - Cotiz. N°170,EMVI INGENIERÍA Y SOLUCIONES INDUSTRIALES SPA,0.1443
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,auto polf grande p b,AUTO POLF GRANDE P-B,,SERVIGEN LTDA,0.2267
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,copla compresion 40mm irritec,Copla Compresión 40mm Irritec,,SERVICIOS PUELCHE SPA,0.2751
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,ibr ige,IBR IgE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.3135
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,k l copla 40 mm terminal he,K-L COPLA 40 MM TERMINAL HE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.5635
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,k l mini regulador de presion 40 psi,K-L MINI REGULADOR DE PRESION 40 PSI,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.515
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,k l tow cap 40 mm,K-L TOW CAP 40 MM,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.4012
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,k l tubo alzador 40 mm x 300 mm,K-L TUBO ALZADOR 40 MM X 300 MM,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.6273
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,k l tubo alzador 40 mm x 800 mm,K-L TUBO ALZADOR 40 MM X 800 MM,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.6438
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,mantencion motor del,Mantención motor del,riego 1,SANDRA PAULINA VALLADARES RIOS,0.4592
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,otros insumos trabajo maestranza,OTROS INSUMOS - Trabajo maestranza,OTROS INSUMOS - Trabajo maestranza,GALLAGHER CHILE SPA,0.1598
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,pl terminal hi 1 1 4 plansa,PL-TERMINAL HI 1 1 4 PLANSA -@,PL-TERMINAL HI 1 1 4 PLANSA -@,DORIS IVONNE CASTILLO KANTER,0.1704
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,rodon,RODON,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,0.1426
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,servicio mo construccion,SERVICIO MO CONSTRUCCION,,ERWIN RAMIRO AGUILEF PINUER,0.3707
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,servicio tecnico,SERVICIO TÉCNICO,"REVISIÓN EQUIPO SUMERGIBLE 3HP/380V, CLIENTE INFORMA FALLA EN CONTACTOR. UBICACIÓN: FUNDO RAICES, CRUCERO - RIO BUENO. SE ADJUNTA: INFORME TECNICO N° 27636 INFORME TECNICO N° 27700",SONDAJES PERFOMAQ SA,0.1537
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,union amer termofusion so so 20mm,UNION AMER TERMOFUSION SO SO 20MM,,COMERCIAL CLIMENT SPA,0.2106
2,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,valvula acople rapido aspersor 3 4,"VALVULA ACOPLE RAPIDO ASPERSOR 3/4""",,COMERCIAL CLIMENT SPA,0.4215
2,unknown_sales_item,ING-0.3,VENTA VAQUILLAS,VENTAS,venta de activo fijo,VENTA DE ACTIVO FIJO,ESTANQUE DELAVAL 16.000 LTS USADO,ANTILLANCA SPA,0.5974
2,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,curso tecnicas de control y prevencion de cojeras en vacas lecheras,Curso Técnicas De Control Y Prevención De Cojeras En Vacas Lecheras,,Fundación de Instrucción Agrícola Adolfo Matthei,0.8552
2,weak_class,EXP-10.2,Diping,COMPRAS,vacas,vacas,,AGRICOLA Y GANADERA EMERALD LIMITADA,0.7162
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,aceite hidraulico 4 7 lt iso 150,ACEITE HIDRAULICO 4.7 LT ISO 150,,GEA Farm Technologies Osorno Ltda.,0.4758
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,distribuidor de aire del colector,DISTRIBUIDOR DE AIRE DEL COLECTOR,,GEA Farm Technologies Osorno Ltda.,0.5993
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,guia de manga,GUIA DE MANGA,,GEA Farm Technologies Osorno Ltda.,0.4827
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,juego pezoneras colector 300,JUEGO PEZONERAS COLECTOR 300,,GEA Farm Technologies Osorno Ltda.,0.5081
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,kit ser 1500h metatron mb sin kick off,KIT SER 1500H METATRON MB SIN KICK OFF,,GEA Farm Technologies Osorno Ltda.,0.7153
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,limpieza silo 33 t,Limpieza silo 33 T,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,0.4198
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,manga doble vacio transp mt,MANGA DOBLE VACIO TRANSP./MT.,,GEA Farm Technologies Osorno Ltda.,0.4783
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,oring racor sms 50 8 mm,"ORING RACOR SMS 50,8 MM",,GEA Farm Technologies Osorno Ltda.,0.4783
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,piola perlon 4mm de alta resistencia,PIOLA PERLON 4MM DE ALTA RESISTENCIA,,GEA Farm Technologies Osorno Ltda.,0.5762
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,reten vastago cilindro puerta,RETEN VASTAGO CILINDRO PUERTA,,GEA Farm Technologies Osorno Ltda.,0.4842
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,selector abb 2 posiciones 1na c2ss2 10b 10 compacto,SELECTOR ABB 2 POSICIONES 1NA C2SS2-10B-10 COMPACTO,,GEA Farm Technologies Osorno Ltda.,0.4893
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,sensor flotador cpl u f,SENSOR FLOTADOR CPL. U/F,,GEA Farm Technologies Osorno Ltda.,0.4845
2,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,tapa frontal metatron s21,TAPA FRONTAL METATRON S21,,GEA Farm Technologies Osorno Ltda.,0.4834
2,weak_class,EXP-11.1,Electricidad Lecheria,COMPRAS,valor neto afectado,Valor Neto Afectado,,COOP RURAL ELECTRICA RIO BUENO LIMITADA,0.3585
2,weak_class,EXP-15.1,Servicios Agronomicos,COMPRAS,000370020,000370020,RECTIFICADO DE DISCO SIMPLE C.O.: 1313,CRUZ Y CIA. LTDA,0.528
2,weak_class,EXP-15.1,Servicios Agronomicos,COMPRAS,clorinda 2kg,CLORINDA 2KG,,COMERCIAL AMAR HNOS. Y CIA. LTDA,0.59
2,weak_class,EXP-15.1,Servicios Agronomicos,COMPRAS,galleta triton vainilla 3 x 116 grs,GALLETA TRITON VAINILLA 3 X 116 GRS,,COMERCIAL AMAR HNOS. Y CIA. LTDA,0.5994
2,weak_class,EXP-15.1,Servicios Agronomicos,COMPRAS,lavaparabrisas 5lt,"LAVAPARABRISAS, 5LT","LAVAPARABRISAS, 5LT",DANIEL VILLAR Y CIA LTDA,0.5025
2,weak_class,EXP-15.1,Servicios Agronomicos,COMPRAS,lavaparabrisas copec,LAVAPARABRISAS COPEC,LAVAPARABRISAS COPEC,DANIEL VILLAR Y CIA LTDA,0.7346
2,weak_class,EXP-15.1,Servicios Agronomicos,COMPRAS,manzana roja frutalan malla kg,MANZANA ROJA FRUTALAN MALLA KG,,COMERCIAL AMAR HNOS. Y CIA. LTDA,0.7649
2,weak_class,EXP-15.2,Servicios Veterinarios,COMPRAS,podologia clinica bovina,PODOLOGÍA CLÍNICA BOVINA,Servicio realizado 15 abril 2025 por Roberto Molina,MOLINA MANNS SPA,0.7379
2,weak_class,EXP-15.2,Servicios Veterinarios,COMPRAS,podologia correctiva,PODOLOGIA CORRECTIVA,8 MAYO: 16 VACAS 9 MAYO: 17 VACAS 15 MAYO: 23 VACAS 21 MAYO: 30 VACAS *SERVICIOS REALIZADOS POR ROBERTO MOLINA,MOLINA MANNS SPA,0.8054
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,bolos raices,BOLOS RAICES,CONFECCION BOLOS 207 BOLOS EN 30 HA LO CUAL SERIAN 7 BOLOS X HA VALOR HA 141.500,SERVICIOS AGRICOLAS CORPAL SPA,0.4694
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,bols roll 50x70 30lt 10u bca,BOLS ROLL 50X70 30LT 10U BCA,,SODIMAC S.A.,0.4942
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,bols roll 50x70 30lt 10u ngra,BOLS ROLL 50X70 30LT 10U NGRA,,SODIMAC S.A.,0.5072
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,bolsa,BOLSA,UN 0000,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.3374
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,bolsa bano,BOLSA BANO,UN 0000@@Precio Antes Ahora#D#403,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.2866
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,confeccion bolos,CONFECCION BOLOS,,AGRÍCOLA J-S-E LIMITADA,0.4788
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,confeccion bolos pelleco,CONFECCION BOLOS PELLECO,,AGRÍCOLA J-S-E LIMITADA,0.4851
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,confeccion de bolos,Confección de bolos.,En pasto seco,HECTOR ADRIAN VALENZUELA PAREDES,0.495
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,llave bola jardin 1 2 h full manilla roja,LLAVE BOLA JARDIN 1 2 H-FULL MANILLA ROJA -@,LLAVE BOLA JARDIN 1 2 H-FULL MANILLA ROJA -@,DORIS IVONNE CASTILLO KANTER,0.5255
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,neumatico 14 9 24 8 telas,NEUMATICO 14.9-24 / 8 TELAS,"|NEUMATICO 14.9 X 24 OZKA KNK 50, 14 PR",Tattersall AgroInsumos S.A.,0.5229
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula bola compacta hi 1 2,VALVULA BOLA COMPACTA HI 1 2 -@,VALVULA BOLA COMPACTA HI 1 2 -@,DORIS IVONNE CASTILLO KANTER,0.4987
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula bola hi hi 1 taumm 060155000,VALVULA BOLA HI-HI 1 TAUMM 060155000 -@,VALVULA BOLA HI-HI 1 TAUMM 060155000 -@,DORIS IVONNE CASTILLO KANTER,0.3225
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula bola otra 1 hi hi taumm 060155002,VALVULA BOLA OTRA 1 HI-HI TAUMM 060155002 -@,VALVULA BOLA OTRA 1 HI-HI TAUMM 060155002 -@,DORIS IVONNE CASTILLO KANTER,0.4909
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula bola otra hi hi 2 taumm 060188002,VALVULA BOLA OTRA HI-HI 2 TAUMM 060188002 -@,VALVULA BOLA OTRA HI-HI 2 TAUMM 060188002 -@,DORIS IVONNE CASTILLO KANTER,0.4685
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula bola paso 3 4 h full,VALVULA BOLA PASO 3 4 H-FULL -@,VALVULA BOLA PASO 3 4 H-FULL -@,DORIS IVONNE CASTILLO KANTER,0.1752
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula de bola hi itali 1 1 4,"VALVULA DE BOLA HI ITALI 1,1/4""",,COMERCIAL CLIMENT SPA,0.5952
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula de bola hi itali 1 2 oferta,"* VALVULA DE BOLA HI ITALI 1/2"" *OFERTA*",,COMERCIAL CLIMENT SPA,0.5495
2,weak_class,EXP-4.3,Bolos Heno,COMPRAS,valvula de bola pvc hilo s union 50mm 1 1 2,"VALVULA DE BOLA PVC-HILO S/UNION 50MM = 1,1/2""",,COMERCIAL CLIMENT SPA,0.5202
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,abastero arg v porc kg,ABASTERO ARG V PORC KG,,CENCOSUD RETAIL S.A.,0.2294
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,cafe nescafe tradicion 170 gr,CAFE NESCAFE TRADICION 170 GR,,CENCOSUD RETAIL S.A.,0.2046
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,candado bash bce forjado cu g 60bl,CANDADO BASH BCE FORJADO CU G-60BL -@,CANDADO BASH BCE FORJADO CU G-60BL -@,DORIS IVONNE CASTILLO KANTER,0.1024
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,clavo corriente 4 x 8 kg oferta,"CLAVO CORRIENTE 4"" X 8 (KG) ""OFERTA""",,COMERCIAL CLIMENT SPA,0.1813
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,clavo cte 4 2 5kg cun029,"CLAVO CTE 4 2,5KG CUN029",,SODIMAC S.A.,0.2153
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,clavo cte 4 bolsa 1kg cun06c,CLAVO CTE 4 BOLSA 1KG CUN06C,,SODIMAC S.A.,0.1555
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,confec 01 mang hidra 3 47 8 r16 cub 46 delgada,CONFEC 01 MANG HIDRA 3&#47;8 R16 CUB&#46; DELGADA,,SERGIO GUILLERMO LOEBEL PUSCHEL,0.0974
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,huachalomo nacional v jumbo kg porc,HUACHALOMO NACIONAL V JUMBO KG PORC,,CENCOSUD RETAIL S.A.,0.2888
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,juego de fitting para sanitario kb ab107 fas,JUEGO DE FITTING PARA SANITARIO KB-AB107 FAS-@,JUEGO DE FITTING PARA SANITARIO KB-AB107 FAS-@,DORIS IVONNE CASTILLO KANTER,0.1683
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,lapiz pasta p med bic cristal azul,LAPIZ PASTA P.MED BIC CRISTAL AZUL,,PROVEEDORES INTEGRALES DEL SUR S.A.,0.2013
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,mipro pastoreo,Mipro Pastoreo,//FUNDO MAITEN G/6986 y 6999,SANO - NUTRICION ANIMAL MODERNA SPA,0.7396
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,omo matic multiaccion pvo bolsa 13 7kg,OMO MATIC MULTIACCION PVO BOLSA 13.7KG,,EASY RETAIL S.A.,0.2891
2,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,sika 3 bidon x 4 litros,SIKA 3 - BIDON X 4 LITROS -@,SIKA 3 - BIDON X 4 LITROS -@,DORIS IVONNE CASTILLO KANTER,0.076
2,weak_class,EXP-5.2,Concentrado Crianza,COMPRAS,cal pintacal 25kg soprocal,CAL PINTACAL 25KG SOPROCAL,,SOCIEDAD COMERCIAL TUCHIE JADURI LIMITAD,0.2141
2,weak_class,EXP-5.2,Concentrado Crianza,COMPRAS,concentrado ternero 1 standard ferosor 25kg sin sal pbf,CONCENTRADO TERNERO 1 STANDARD -Ferosor_25kg_Sin Sal_PBF_,Ferosor_25kg_Sin Sal_PBF_,FEROSOR AGRICOLA S.A.,0.5603
2,weak_class,EXP-5.2,Concentrado Crianza,COMPRAS,correa entrega lateral rf,CORREA ENTREGA LATERAL RF,CORREA ENTREGA LATERAL RF,GALLAGHER CHILE SPA,0.2346
2,weak_class,EXP-5.3,Concentrado Otros Animales,COMPRAS,aq curva 60 aquapluv marron tigre,AQ-CURVA 60 AQUAPLUV MARRON TIGRE -@,AQ-CURVA 60 AQUAPLUV MARRON TIGRE -@,DORIS IVONNE CASTILLO KANTER,0.1012
2,weak_class,EXP-5.3,Concentrado Otros Animales,COMPRAS,clavo de 5kg,CLAVO DE 5KG -@,CLAVO DE 5KG -@,DORIS IVONNE CASTILLO KANTER,0.2676
2,weak_class,EXP-5.3,Concentrado Otros Animales,COMPRAS,pf salero p novillos c cubierta,PF SALERO P/NOVILLOS C/CUBIERTA -____,____,FEROSOR AGRICOLA S.A.,0.228
2,weak_class,EXP-5.3,Concentrado Otros Animales,COMPRAS,tiza carbonato calcio 1kgs mohican,TIZA CARBONATO CALCIO 1KGS MOHICAN -@,TIZA CARBONATO CALCIO 1KGS MOHICAN -@,DORIS IVONNE CASTILLO KANTER,0.3097
2,weak_class,EXP-6.1,Fosforo,COMPRAS,fertilizacion tineo,FERTILIZACION TINEO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,0.5277
2,weak_class,EXP-6.4,Guano,COMPRAS,servicios varios,SERVICIOS VARIOS,SERVICIOS VARIOS,Servicios Bergström Limitada,0.4716
2,weak_class,EXP-8.2,Pradera Rotacion Corta,COMPRAS,siembra,SIEMBRA,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,0.3535
2,weak_class,EXP-8.4,Otros Cultivos,COMPRAS,nirs ensilaje pradera forraje,NIRS ENSILAJE PRADERA FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.2174
