supplier,folio,item,amount,decision,source,top1_score,predicted,top3,accountant_categories,top1_matches_ledger,doc_has_single_account
HGS DAIRY SOLUTIONS SPA,27755,ZINICIN 70 KGS.,98368,auto_accept,product_lookup,1,EXP-10.3,EXP-10.3,EXP-10.3|EXP-10.4,True,False
HGS DAIRY SOLUTIONS SPA,27755,FILTRO LECHE 75 MM * 800 SE - 200 UN,97124,review_required,model,0.7372,EXP-10.1,EXP-10.1|EXP-10.4|EXP-15.2,EXP-10.3|EXP-10.4,False,False
DORIS IVONNE CASTILLO KANTER,263226,HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,11400,auto_accept,model,0.8161,EXP-14.3,EXP-14.3|EXP-14.4|EXP-10.4,EXP-14.3|EXP-14.4|EXP-16.2,True,False
DORIS IVONNE CASTILLO KANTER,263226,HDPE-TEE COMPRESION 32MM -@,20178,auto_accept,model,0.7927,EXP-14.3,EXP-14.3|EXP-14.4|EXP-10.4,EXP-14.3|EXP-14.4|EXP-16.2,True,False
DORIS IVONNE CASTILLO KANTER,263226,CINTA TEFLON MAESTRO 3/4 041704003 TAUMM -@,1932,review_required,model,0.7486,EXP-14.3,EXP-14.3|EXP-14.4|EXP-10.4,EXP-14.3|EXP-14.4|EXP-16.2,True,False
DORIS IVONNE CASTILLO KANTER,263226,VALVULA BOLA OTRA 1 HI-HI TAUMM 060155002 -@,28140,review_required,model,0.7141,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.3|EXP-14.4|EXP-16.2,True,False
DORIS IVONNE CASTILLO KANTER,263226,AMARRA PLASTICA NEGRA 4 8 X 300MM 100UN AMR105 -@,4088,review_required,model,0.7256,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.3|EXP-14.4|EXP-16.2,True,False
DORIS IVONNE CASTILLO KANTER,263226,CINTA TAPAGOTERA 10 MT AGOREX -@,40482,review_required,model,0.2828,EXP-14.2,EXP-14.2|EXP-14.3|EXP-14.4,EXP-14.3|EXP-14.4|EXP-16.2,False,False
HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,144,servicio carro wullians,448770,review_required,model,0.1627,EXP-13.1,EXP-13.1|EXP-14.1|EXP-15.4,EXP-14.3,False,True
COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,3708456,BUZO COVERALL- G BLANCO T M,3960,auto_accept,model,0.9332,EXP-16.1,EXP-16.1|EXP-13.1|ADM-1.10,EXP-16.1,True,True
COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,3708456,BUZO COVERALL- G BLANCO T XXL,29700,auto_accept,model,0.9162,EXP-16.1,EXP-16.1|EXP-13.1|ADM-1.10,EXP-16.1,True,True
COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,3708456,GUANTE CABRITILLA SIN FORRO TIPO A,49000,review_required,model,0.6934,EXP-16.1,EXP-16.1|EXP-6.4|ADM-1.6,EXP-16.1,True,True
COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,3708456,MASCARILLA KN95 IMPORTADA,9500,review_required,model,0.5224,EXP-13.1,EXP-13.1|EXP-14.2|ADM-1.6,EXP-16.1,False,True
SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,1975700,INTERESES_POR_MORA,1646,review_required,model,0.5741,EXP-15.3,EXP-15.3|ADM-1.7|ADM-1.4,ADM-1.4,False,True
SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,1975700,GASTOS_COBRANZA,3060,review_required,model,0.1883,EXP-16.2,EXP-16.2|EXP-14.4|ADM-1.5,ADM-1.4,False,True
SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,1975700,TRANSITO,6800,review_required,model,0.8055,EXP-15.3,EXP-15.3|ADM-3.1|ADM-1.4,ADM-1.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,PLANIPART FCO 50 CC,103510,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,ADVOCIN 180 X 50 CC,132966,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,MOBEXVET X 50 ML,127062,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,AZOVETRIL X 5 LT.,146514,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,BAYTRIL MAX X 100 CC,92440,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,LIQUAMICINA LA 250 CC.,228444,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,LUTALYSE X 100 ML,238020,auto_accept,product_lookup,1,EXP-3.1,EXP-3.1,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,EXCEDE 200 X 100 ML,245278,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.2|EXP-2.5|EXP-3.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689573,COBACTAN INYECTABLE X 100 ML,173200,auto_accept,model,0.8044,EXP-2.5,EXP-2.5|EXP-2.2|EXP-3.1,EXP-2.2|EXP-2.5|EXP-3.1,True,False
LUIS ANTONIO TORRES JARAMILLO,76,TRASLADO VAQUILLAS,200000,auto_accept,model,0.9128,AF-1.1,AF-1.1|EXP-15.2|EXP-15.3,EXP-15.3,False,True
LUIS ANTONIO TORRES JARAMILLO,76,TRASLADO VAQUILLAS,250000,auto_accept,model,0.9105,AF-1.1,AF-1.1|EXP-15.2|EXP-2.3,EXP-15.3,False,True
REALE CHILE SEGUROS GENERALES S.A.,1345367,Pago cuota 7. Póliza Vehiculos,61099,auto_accept,model,0.9195,ADM-2.1,ADM-2.1|EXP-15.4|ADM-1.2,ADM-2.1,True,True
SOC ROBERTO AICHELE Y CIA LIMITADA,394,ASESORIA AGROPECUARIA,816896,auto_accept,product_lookup,1,EXP-15.1,EXP-15.1,EXP-15.1,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30614700,GASOLINA 93,41537,review_required,model,0.6368,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30729387,PETROLEO DIESEL ULTRA,43720,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
GEO PARTNER SPA,2200,SERVICIOS,336000,review_required,model,0.5032,EXP-15.3,EXP-15.3|EXP-14.1|EXP-16.2,EXP-14.1,False,True
GEO PARTNER SPA,2200,VENTA MATERIAL,1860000,review_required,model,0.7624,EXP-14.1,EXP-14.1|EXP-6.3|EXP-6.2,EXP-14.1,True,True
GEO PARTNER SPA,2200,VENTA MATERIAL,5292000,review_required,model,0.6879,EXP-14.1,EXP-14.1|EXP-6.3|EXP-6.2,EXP-14.1,True,True
TUV Rheinland Andino S.A,589622,CRT Clase B Camioneta - TBZL91,18067,review_required,model,0.5916,EXP-13.1,EXP-13.1|EXP-2.2|EXP-3.1,EXP-13.3,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,LECHE PRISMA CARAMELO,11722,review_required,model,0.4447,EXP-3.1,EXP-3.1|EXP-10.1|EXP-15.2,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,LECHE PRISMA CAPPUCCINO,14066,review_required,model,0.4624,EXP-3.1,EXP-3.1|EXP-10.1|EXP-15.2,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,CREMISIMO VAINILLA POTE 100 G,941,review_required,model,0.1992,EXP-2.2,EXP-2.2|EXP-13.1|EXP-4.1,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,CREMISIMO LUCUMA POTE 100 G,941,review_required,model,0.1996,EXP-2.2,EXP-2.2|EXP-13.1|EXP-4.1,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,UHT DESAYUNOW MANZANA-AVENA 330 ML,2496,review_required,model,0.1912,ADM-1.6,ADM-1.6|EXP-2.2|EXP-1.1,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,UHT DESAYUNOW CHOCO-AVENA 330 ML,7487,review_required,model,0.1178,EXP-2.2,EXP-2.2|ADM-1.6|EXP-13.1,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,NECTAR PINA 200 ml.,1562,review_required,model,0.2304,EXP-10.3,EXP-10.3|EXP-2.2|EXP-16.2,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,NECTAR DURAZNO 200 ml.,1562,review_required,model,0.301,EXP-10.3,EXP-10.3|EXP-2.2|EXP-2.6,EXP-1.1,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30768192,NECTAR MANZANA 200 ml.,1562,review_required,model,0.4974,EXP-1.1,EXP-1.1|EXP-10.3|ADM-1.6,EXP-1.1,True,True
Estaciones de Serv. Paola Uslar Molina E.I.R.L.,260242,Aramco Gasolina 93,73786,review_required,model,0.5345,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
BANCO BICE,3844580,Comisión por Pagos de Nominas,2453,auto_accept,model,0.8132,ADM-1.7,ADM-1.7|ADM-3.1|EXP-15.5,"|?Impuestos, comisiones, multas",False,True
LAS ACHIRAS SPA,438,Nombre ítem 1,28800,review_required,model,0.1095,EXP-15.3,EXP-15.3|EXP-14.1|EXP-15.2,ADM-1.5,False,True
Banco de Chile,47964073,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES,13145,review_required,model,0.6919,ADM-3.1,ADM-3.1|EXP-14.4|EXP-10.4,"|?Impuestos, comisiones, multas",False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30690259,TRAJE DE AGUA ALASKA L,14638,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30690259,OVEROLES GABARDINA TALLA M,8740,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30614612,GASOLINA 93,27636,review_required,model,0.6368,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689903,CUCHILLO DESPALMADOR IZQ AESCULAP 203567,29003,review_required,model,0.2915,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689903,BOTA BEKINA STEPLITE PUNTA ACERO N° 41,55753,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1|EXP-2.6,True,False
GALLAGHER CHILE SPA,22092,ESTACA ANILLO 850MM 6MM 10UN,175988,review_required,model,0.2554,EXP-14.2,EXP-14.2|EXP-14.3|EXP-14.4,EXP-14.2,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330804,PINTURA SPRAY 500 CC DONAGHYS AZUL,39720,auto_accept,product_lookup,1,EXP-2.6,EXP-2.6,EXP-2.6,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5331321,CARDIOTONICO (VIVEFORT) CAJA 3X10 CC.,85864,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5331321,MAGNEKAL 100 CC. (CLORURO DE MG),73560,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5331321,CALFODEX 500 CC.,189744,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5331321,BOVICAL-P 5 LTS.,93490,review_required,model,0.1887,EXP-2.5,EXP-2.5|EXP-10.3|EXP-2.2,EXP-2.5,True,True
COPEC S.A.,32207330,Fecha-Guía,0,review_required,model,0.4737,EXP-10.4,EXP-10.4|EXP-13.3|EXP-10.1,ADM-1.4,False,True
COPEC S.A.,32207330,Total,0,review_required,model,0.8243,EXP-11.4,EXP-11.4|ADM-1.4|EXP-11.5,ADM-1.4,False,True
COPEC S.A.,32207330,DETALLE,84078,review_required,business_rule,1,ADM-1.4,ADM-1.4,ADM-1.4,True,True
Santander - Chile,15417353,COMISION MANTENCION PLAN (EXENTO DE IVA),11626,review_required,model,0.4787,ADM-1.7,ADM-1.7|EXP-14.1|EXP-14.4,"|?Impuestos, comisiones, multas",False,True
BANCO BICE,3844576,Comision por Nominas en Linea CCA,16337,review_required,model,0.6181,ADM-1.7,ADM-1.7|EXP-15.7|ADM-3.1,"|?Impuestos, comisiones, multas",False,True
ADMINISTRADORA DE ESTACIONES DE SERVICIO,32999,GASOLINA 93,60149,review_required,model,0.6325,ADM-1.4,ADM-1.4|EXP-11.4|EXP-11.5,ADM-1.4,True,True
SODIMAC S.A.,148581888,DETERGENTE POLVO KLEINE 10KG,13857,review_required,model,0.3744,EXP-10.3,EXP-10.3|EXP-2.4|EXP-16.2,EXP-10.3|EXP-16.1,True,False
SODIMAC S.A.,148581888,REFLECTOR LED 50W LF NEGRO,18471,review_required,model,0.1699,EXP-16.2,EXP-16.2|EXP-14.2|EXP-14.4,EXP-10.3|EXP-16.1,False,False
SODIMAC S.A.,148581888,SET TIJERAS X3 PDQ,4193,review_required,model,0.1623,EXP-10.3,EXP-10.3|EXP-13.3|EXP-15.5,EXP-10.3|EXP-16.1,True,False
SODIMAC S.A.,148581888,MARTILLO FIBRA DVIDRIO 200Z,14109,review_required,model,0.1984,ADM-1.6,ADM-1.6|EXP-16.2|EXP-14.4,EXP-10.3|EXP-16.1,False,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO VETERINARIO 1 PIEZA TALLA 44 (S),34500,auto_accept,model,0.7533,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO VETERINARIO 1 PIEZA TALLA 48 (L),103500,review_required,model,0.7099,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO VETERINARIO 1 PIEZA TALLA 50 (XL),69000,review_required,model,0.7179,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO VETERINARIO 1 PIEZA TALLA 54 (XXXL),138000,auto_accept,model,0.7581,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO VETERINARIO 1 PIEZA TALLA 46 (M),138000,review_required,model,0.745,EXP-16.1,EXP-16.1|EXP-2.6|EXP-14.2,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO PILOTO VARIOS COLORES TALLA S,5819,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO PILOTO VARIOS COLORES TALLA M,23276,auto_accept,model,0.957,EXP-16.1,EXP-16.1|EXP-16.2|EXP-2.6,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO PILOTO VARIOS COLORES TALLA L,17457,auto_accept,model,0.953,EXP-16.1,EXP-16.1|EXP-16.2|EXP-2.6,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO PILOTO VARIOS COLORES TALLA XL,11638,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BUZO PILOTO VARIOS COLORES TALLA XXL,23276,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,MANGA ORDENO VERDE,79144,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,PECHERA AJUSTABLE AZUL REVERSIBLE,109200,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,LIBRO DE NACIMIENTOS,16880,review_required,model,0.1024,EXP-16.2,EXP-16.2|EXP-2.6|EXP-12.2,EXP-16.1,False,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BOTAS BEKINA STEPLITE-X P.A.#42,53790,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5321113,BOTAS BEKINA STEPLITE-X P.A.#43,53790,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1,True,True
BANCO BICE,3847674,Renta de Arrendamiento Nº17 del contrato Nº34590-1,2766683,auto_accept,model,0.9865,EXP-15.8,EXP-15.8|EXP-15.4|ADM-1.5,|?DEUDAS LEASING LARGO PLAZO,False,True
FERIA GANADEROS OSORNO S.A.,193948,005 TERNERO(S) PAR + LOMO,2205280,review_required,model,0.1501,ADM-1.6,ADM-1.6|EXP-14.1|EXP-14.4,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193948,006 TERNERO(S) NEG /\/\ LOMO,3087500,review_required,model,0.1468,ADM-1.6,ADM-1.6|ADM-1.2|EXP-14.4,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193948,005 TERNERA(S) NEG SM NEG,2025540,review_required,model,0.224,ADM-1.2,ADM-1.2|ADM-1.6|AF-1.1,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193948,005 TERNERA(S) PAR SM PAR,1827000,review_required,model,0.1127,ADM-1.2,ADM-1.2|EXP-14.4|ADM-1.6,"|?Impuestos, comisiones, multas",False,True
CIA ELECTRICA OSORNO S A,1459849,Administración del Servicio,1095,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Transporte de Electricidad,104142,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Electricidad Consumida,560611,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Cargo mensual por demanda máxima de Potencia Leída,698206,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Cargo mensual por demanda máxima de Potencia Leída Hora Punta,428985,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Cargo por Servicio Público,5079,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Cargo Fondo de Estabilización Ley 21.472,19180,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Arriendo Equipos No Regulados,163775,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,"Ajuste para facilitar el pago en efectivo, mes actual",30,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,"Ajuste para facilitar el pago en efectivo, mes anterior",19,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Interés por mora Energía,63,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
CIA ELECTRICA OSORNO S A,1459849,Interés por mora Energía,4101,auto_accept,meter_lookup,1,EXP-11.1,EXP-11.1,EXP-11.1,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330800,PINTURA SPRAY 500 CC DONAGHYS VERDE,95328,review_required,model,0.4769,EXP-2.6,EXP-2.6|EXP-2.2|EXP-2.5,EXP-2.6,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330800,PINTURA SPRAY 500 CC DONAGHYS AZUL,7944,auto_accept,product_lookup,1,EXP-2.6,EXP-2.6,EXP-2.6,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330800,CHUPETE BIBERON (PARA MAMADERA DE 2 LTS),16596,review_required,model,0.1719,ADM-1.6,ADM-1.6|EXP-16.2|EXP-2.6,EXP-2.6,False,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330800,TERMOMETRO DIGITAL GRANDES ANIM. 212772,19221,review_required,model,0.2849,EXP-13.1,EXP-13.1|EXP-2.6|EXP-14.2,EXP-2.6,False,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330800,TENAZA AUTOCROTALES (ALLFLEX),39652,review_required,model,0.7322,EXP-2.6,EXP-2.6|EXP-16.1|EXP-2.2,EXP-2.6,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330800,BANDA ADHESIVA PATA/COLA 10M ROJO 204273,22040,review_required,model,0.4777,EXP-2.6,EXP-2.6|EXP-16.2|EXP-2.2,EXP-2.6,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5330800,BANDA ADHESIVA PATA/COLA 10M AMAR 204274,4408,review_required,model,0.5095,EXP-2.6,EXP-2.6|EXP-16.1|EXP-16.2,EXP-2.6,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30307632,PETROLEO DIESEL ULTRA,43720,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694888,DIIO DATAMARS ZEETAG HDX X 5 UN,1318770,review_required,model,0.5509,EXP-2.6,EXP-2.6|EXP-13.1|EXP-2.2,EXP-2.6,True,True
DORIS IVONNE CASTILLO KANTER,262285,DILUYENTE DUCO PIROX INVIERNO 1LT QUIMICA UNIVERSAL -@,15850,review_required,model,0.628,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262285,KG SOLDADURA 7018-RH 1/8 INDURA BOLSA -@,111465,review_required,model,0.3245,EXP-14.3,EXP-14.3|EXP-14.2|EXP-14.4,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262285,PAN PERNO ANCLAJE -HILTI-1 2-X4 1 4 -@,6670,review_required,model,0.4545,EXP-14.3,EXP-14.3|EXP-10.4|EXP-14.4,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262285,DISCO DE LAMINAS HEMIC 115X22 23MM GR 100 882100115 -@,9130,review_required,model,0.5124,EXP-14.3,EXP-14.3|EXP-14.2|EXP-14.4,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262285,GALVANIZADO EN FRIO 80% SPRAY BILLANTE 450ML SILIMAX -@,36960,review_required,model,0.2234,EXP-14.2,EXP-14.2|EXP-14.4|EXP-10.4,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262285,GRA1-ESCOBILLA COPA 3 TWISTED EBC103 -@,6706,review_required,model,0.1962,EXP-14.4,EXP-14.4|EXP-13.1|EXP-14.2,EXP-14.4,True,True
DORIS IVONNE CASTILLO KANTER,262285,DISCO DESBASTE 25282886 6 115X6X22 MM ATLAS -@,10630,review_required,model,0.2594,EXP-14.3,EXP-14.3|EXP-14.2|EXP-14.4,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262285,DISCO DESBASTE METAL 7 X 6.0MM KRAFTER -@,4618,review_required,model,0.4929,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
SALINAS Y FABRES S.A.,5352947,Item,973183,review_required,model,0.2264,EXP-14.1,EXP-14.1|EXP-10.4|EXP-14.4,EXP-13.1,False,True
ELCIRA CABEZA MENENDEZ,1290,GAS 15KG GASCO,25126,review_required,model,0.9398,EXP-11.5,EXP-11.5|EXP-11.4|EXP-16.2,EXP-11.5,True,True
DANIEL VILLAR Y CIA LTDA,420108,Gasolina 93,91031,auto_accept,business_rule,1,ADM-1.4,ADM-1.4,ADM-1.4,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30690116,PETROLEO DIESEL ULTRA (DISTRIBUCION),1055188,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
BANCO BICE,3824204,COMISION DE USO MENSUAL (Nro. Documento: 474150001425),5306,review_required,model,0.966,ADM-3.1,ADM-3.1|EXP-9.2|EXP-10.4,"|?Impuestos, comisiones, multas",False,True
BANCO BICE,3824204,COMISION DE USO MENSUAL (Nro. Documento: 474150001441),5306,review_required,model,0.948,ADM-3.1,ADM-3.1|EXP-9.2|EXP-10.4,"|?Impuestos, comisiones, multas",False,True
COMERCIAL Y SERVICIOS VIGU LIMITADA,68282,Gasolina 93,36585,review_required,model,0.718,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
ESMAX RED LIMITADA,8999876,Aramco Gasolina 93,36522,review_required,model,0.536,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,ADM-1.4,True,True
BANCO BICE,3864596,Renta de Arrendamiento Nº15 del contrato Nº34853-1,2714328,auto_accept,model,0.9873,EXP-15.8,EXP-15.8|EXP-15.4|ADM-1.5,|?DEUDAS LEASING LARGO PLAZO,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689271,DIIO DATAMARS ZEETAG FDX X 5 UN,2315720,review_required,model,0.4777,EXP-2.6,EXP-2.6|EXP-16.2|EXP-13.1,EXP-2.6,True,True
LATAM AIRLINES GROUP SA,7422498,Vuelo Tasas y/o impuestos,230826,review_required,model,0.3982,ADM-1.4,ADM-1.4|EXP-10.1|EXP-14.1,ADM-1.7,False,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5320818,SAL MIN COOPRINSEM ANIONICA 25 kG,187680,review_required,model,0.31,EXP-2.4,EXP-2.4|EXP-8.4|EXP-5.5,EXP-2.4,True,True
