PROVEEDOR,Cód de Material,Descripción,Un/Medida,CODIGO,CUENTA,SUBCUENTA,FACTURA,UPLOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPRINSEM,25001465,BOTAS DUNLOP THERMO+ # 39-40     (-40 C),UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.08.2025,16:37:16
COOPRINSEM,25001466,BOTAS DUNLOP THERMO+ # 41        (-40 C),UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.08.2025,16:22:58
COOPRINSEM,25001467,BOTAS DUNLOP THERMO+ # 42        (-40 C),UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07.2025,11:24:53
COOPRINSEM,25001468,BOTAS DUNLOP THERMO+ # 43        (-40 C),UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07.2025,11:27:36
COOPRINSEM,25001469,BOTAS DUNLOP THERMO+ # 44-45     (-40 C),UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.07.2025,10:32:10
COOPRINSEM,25001470,BUZO PILOTO VARIOS COLORES TALLA XXL,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07.2025,9:50:30
COOPRINSEM,25001473,FILTRO (PAR) 3M # 6003 VAP.ORGANIC/GASES,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07.2025,9:11:07
COOPRINSEM,25001501,"TRAJE AGUA POLIURETANO 0,55MM T-L",UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.07.2025,12:31:46
COOPRINSEM,25001502,"TRAJE AGUA POLIURETANO 0,55MM T-XL",UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04.07.2025,14:20:04
COOPRINSEM,25001533,BUZO PILOTO VARIOS COLORES TALLA XL,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04.07.2025,14:20:04
COOPRINSEM,25001537,BUZO VETERINARIO 1 PIEZA TALLA 50,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04.07.2025,14:18:17
COOPRINSEM,25001538,BUZO VETERINARIO 1 PIEZA TALLA 52,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04.07.2025,14:18:17
COOPRINSEM,25001539,BUZO VETERINARIO 1 PIEZA TALLA 56,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06.2025,9:05:30
COOPRINSEM,25001571,BUZO CANVAS AZUL 240 GRS X M2 TALLA M,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06.2025,16:10:36
COOPRINSEM,25001573,BUZO CANVAS AZUL 240 GRS X M2 TALLA XL,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.06.2025,9:54:13
COOPRINSEM,25001574,BUZO CANVAS AZUL 240 GRS X M2 TALLA XXL,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05.2025,10:38:59
COOPRINSEM,25001623,BOTA DUNLOP PUROFORT + FULLSAFETY # 36,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05.2025,10:27:58
COOPRINSEM,25001718,BUZO VETERINARIO 1 PIEZA TALLA 54,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05.2025,10:27:58
COOPRINSEM,25001767,ESCOBILLON # 101 MUNIC MAD ESPERANZA-OSO,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05.2025,10:27:58
COOPRINSEM,25001769,ESCOBILLON # 103 MUNICIPAL CHICO MADERA,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05.2025,16:46:30
COOPRINSEM,25001884,MASCARILLA SILICONA 3M MOD # 7503 T-L,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05.2025,14:19:07
COOPRINSEM,27000071,FILM EST. PLASTYVERG  1500 x 750 x 25,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05.2025,14:19:07
COOPRINSEM,27000090,PLAST.SILOFARM  14Mx50M x 130MIC,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05.2025,15:10:10
COOPRINSEM,30000579,HORM. CIDR BOVINO APLICADOR,UN,GASTOS EXPLOTACION,REPRODUCCION,INSEMINACION ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.05.2025,8:55:44
COOPRINSEM,30001646,MANGA DESECHABLE GIA POLYSEM,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04.2025,10:34:32
COOPRINSEM,30001648,MANGA DESECHABLE INSEM. SUPER SENSITIVE,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04.2025,10:34:32
COOPRINSEM,43000072,MANGA ORDENO AZUL,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04.2025,10:34:32
COOPRINSEM,43000323,PM ESCOBILLA ESTANQUE,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04.2025,12:19:23
COOPRINSEM,43000326,PM ESCOBILLA MANGO P/ EST.,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03.2025,8:43:09
COOPRINSEM,43001116,PM ESCOB. MANGO LAR. 410MM,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.02.2025,12:28:01
COOPRINSEM,43001444,SP. ECO CMT CHECK        (SPARTAN CHECK),UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02.2025,11:07:16
COOPRINSEM,43001506,JABON GRANEL ECONOMICO 5 LTS.97061,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02.2025,13:16:16
COOPRINSEM,43001521,PM CMT REACTIVO 1 LT.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,MEDICAMENTO MASTITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02.2025,13:26:33
COOPRINSEM,43001646,PM TAZA DESINF.NO RET.HORIZ.,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.02.2025,12:42:33
COOPRINSEM,43001678,PM CMT PALETA,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.02.2025,12:42:33
COOPRINSEM,43001802,CAJA TOALLA PAPEL INTERFOLIADA 20720,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01.2025,12:30:53
COOPRINSEM,43003710,PECHERA AJUSTABLE AZUL REVERSIBLE,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01.2025,12:30:53
COOPRINSEM,43004121,HIGIENICO 120 METROS X 8 UN  52120,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01.2025,12:30:53
COOPRINSEM,43004493,COMBO ORDEï¾‘ADOR (PECHERA MANGAS),UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01.2025,12:30:53
COOPRINSEM,43004596,PECHERA ORDENO AZUL    2150021187,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01.2025,7:59:44
COOPRINSEM,50001589,K-L ASPERSOR NELSON R2000  RED - RED,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01.2025,7:59:44
COOPRINSEM,60000801,RESMA HOJA CARTA PARA IMPRESORA,UN,GASTOS ADMINISTRACION,ADMINISTRACION,UTILES Y GASTOS DE OFICINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.01.2025,13:55:11
COOPRINSEM,60001018,BATERIA HP  ORIGINAL HT03XL,UN,GASTOS ADMINISTRACION,ADMINISTRACION,UTILES Y GASTOS DE OFICINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.01.2025,10:35:53
COOPRINSEM,60003677,CABLE TIPO-C A HDMI 1.8M TM-100539,UN,GASTOS ADMINISTRACION,ADMINISTRACION,UTILES Y GASTOS DE OFICINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.01.2025,10:35:53
COOPRINSEM,61000020,SERVICIOS + OFFICE,UN,GASTOS ADMINISTRACION,ADMINISTRACION,UTILES Y GASTOS DE OFICINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.01.2025,9:05:10
COLUN,7600833,JERINGA DESECHABLE 3 ML C/AGUJA (L.L.),UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,60059338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7070017,GASOLINA 93,L,,,,19059051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7070050,PETROLEO DIESEL ULTRA,L,,,,16868862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7602487,PETROLEO DIESEL ULTRA (DISTRIBUCION),L,GASTOS EXPLOTACION,COMBUSTIBLE Y ENERGIA,PETROLEO,19058660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7607641,T. COLUN CRECIMIENTO X 25 KG,BOL,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,CONCENTRADO CRIANZA,16867762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7607738,MAIZ HOJUELA COLUN X 25 KG,BOL,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,CONCENTRADO OTROS ANIMALES,16867667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7612709,COLMILLO BLANCO X 20KG (ADULTO&CACHORRO),BOL,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,CONCENTRADO OTROS ANIMALES,16867667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7603663,PERRO FIT FORMULA ADULTO X 20 KG,BOL,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,CONCENTRADO OTROS ANIMALES,16866933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7600137,AGUJAS TUBERCULINA METALICA,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16866785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7604183,PARCHE SILO BOLO,UN,GASTOS EXPLOTACION,ALIMENTOS CONFECCIONADOS,BOLOS SILO,16866767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7601725,TACO DE MADERA X 10 UNID.,BOL,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16866486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7610215,PEGAMENTO BOVIBOND X 210 ML,ENV,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16866486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7612043,VENDAS COADHESIVAS MOO WARP,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16866486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7615484,FORMALINA X 22 LTS,ENV,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16866486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7606335,CORDON BUNGY ROLLO 50 MT (G89106),UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16865955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7605684,SALFORT PASTOREO X 25 KG,BOL,GASTOS EXPLOTACION,SALUD ANIMAL,SALES MINERALES,16865769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7602978,TORDON 101 X 4 LT,ENV,GASTOS EXPLOTACION,AGROQUIMICOS,,16865362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7606133,CABLE POLY BLA 6SS 500M (G62007),UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16865362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7603359,SUSTITUTO LACTEO COLUN (SPT) 25 KG,BOL,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,SUSTITUTO LACTEO,16863187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7056294,CLAVOS TERRANO 1 1/2 !¡,KG,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16863187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7004936,CLAVOS 2 1/2 X 11,KG,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16863187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7055140,AISLA. ESQUINERO TIPO S1031B,UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16863187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7613751,CIDR BOVINOS X 10 DISP,BOL,GASTOS EXPLOTACION,REPRODUCCION,INSEMINACION ARTIFICIAL,60059244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7603873,TERMOMETRO DIGITAL PARA SUELOS SHOOF,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,OTROS GASTOS CAMPO,16862476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7003972,ALAMBRE GALV. # 14 POR KILOS,KG,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16862411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7613741,PATHOZONE X 10 JER,CJ,GASTOS EXPLOTACION,SALUD ANIMAL,MEDICAMENTOS MASTITIS,16861946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7023574,LIQUAMICINA  LA 250 CC.,FR,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,16861946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7056871,AZOVETRIL X 5 LT.,BID,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,16861946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7027693,TERRACORTRIL 125 CC SPRAY QUERATITIS,CIL,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,16861946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7028177,VIGANTOL ADE 100 CC.,FR,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,16861946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7602242,PEDEROL SPRAY 250 ML,CIL,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,16861946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7051110,ALAMBRE PUAS MOTTO GANADERO X 500 MTS.,ROL,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16861632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7601066,GRAPAS 11/4  X 10 X 1 KG,PQT,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16861632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7600834,VACUNA FORTRESS X 50 DOSIS,FR,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,16859456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7605412,"AGUJA DESECHABLE 16G X 1/2""",UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16859234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7611084,COLUBLOCK SUPERCRIANZA COX X 18 KG,BLO,GASTOS EXPLOTACION,SALUD ANIMAL,SALES MINERALES,16859234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7607585,PINTURA CELO TELL TAIL SPRAY AZU 500CC,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16859122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7074233,SCHNELL ROSTLOSER LIQ 1612,ENV,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,OTROS GASTOS CAMPO,16858943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7606081,AISLADOR W NEGRO X 25 UN (G67304),BOL,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16858339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7606206,TENSOR C/AISLADOR (G74313),UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16858339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7601064,CLAVOS 4 X 8 X 1 KG,PQT,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16858339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7605926,MANIJA SOFT TOUCH CUERDA (G69703),UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16858339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7611933,"CLAVO TERRANO 1 1/2"" X 1 KG",BOL,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16858135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7070416,A.MOBIL HD 80-90 X 19 LT,BAL,GASTOS EXPLOTACION,MAQUINARIA Y VEHICULOS,MANTENCION MAQUINARIA,16857587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7613010,TOALLA PAPEL INTERFOLIADA 320 UN,PQT,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16857476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7606062,CARRETE C/ENGRANAJE MED (G61150),UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16856966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7606018,ESTACA COLA CHANCHO 850MM 10UN (G64213),UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,16856966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7607650,T. SURALIM CRECIMIENTO RF X 25 KG,BOL,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,CONCENTRADO CRIANZA,16856396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7036390,BIOPECT X 5 KG,ENV,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16856396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7604671,PLASTICO SILO 14 M 26 M 150 MIC,ROL,GASTOS EXPLOTACION,ALIMENTOS CONFECCIONADOS,ALIMENTOS CONFECCIONADOS,16855909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7607579,PINTURA CELO TELL TAIL AZUL 1 LT,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,16855415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7006564,M.C.P.A X 1 LT,ENV,GASTOS EXPLOTACION,AGROQUIMICOS,,16853999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7061930,CAIMAN (BANVEL) 75 % WG X KL,ENV,GASTOS EXPLOTACION,AGROQUIMICOS,,16853999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUN,7033286,SILWET X 1 LT,ENV,GASTOS EXPLOTACION,AGROQUIMICOS,,16853999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
