rows,direction,normalized_text,example_item,example_description,providers,zero_reasons,verdict,rationale
1,COMPRAS,ford ranger xl 4x psss 88 171197 25 06 2025 12 01 763986 a ford ranger xl 4x psss 88 171197 25 06 2025 12 01 763986,FORD RANGER XL 4X PSSS-88 171197 25/06/2025 12:01 763986,A@FORD RANGER XL 4X PSSS-88 171197 25/06/2025 12:01 763986,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford ranger xl 4x rzgc 45 109461 27 02 2025 18 11 738483 a ford ranger xl 4x rzgc 45 109461 27 02 2025 18 11 738483,FORD RANGER XL 4X RZGC-45 109461 27/02/2025 18:11 738483,A@FORD RANGER XL 4X RZGC-45 109461 27/02/2025 18:11 738483,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford ranger xl 4x rzgc 45 119636 12 09 2025 09 29 781448 a ford ranger xl 4x rzgc 45 119636 12 09 2025 09 29 781448,FORD RANGER XL 4X RZGC-45 119636 12/09/2025 09:29 781448,A@FORD RANGER XL 4X RZGC-45 119636 12/09/2025 09:29 781448,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford ranger xlt 4 tjxc 63 48335 28 03 2025 18 03 744974 a ford ranger xlt 4 tjxc 63 48335 28 03 2025 18 03 744974,FORD RANGER XLT 4 TJXC-63 48335 28/03/2025 18:03 744974,A@FORD RANGER XLT 4 TJXC-63 48335 28/03/2025 18:03 744974,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford ranger xlt 4 tjxc 63 65024 04 07 2025 17 30 766093 a ford ranger xlt 4 tjxc 63 65024 04 07 2025 17 30 766093,FORD RANGER XLT 4 TJXC-63 65024 04/07/2025 17:30 766093,A@FORD RANGER XLT 4 TJXC-63 65024 04/07/2025 17:30 766093,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford ranger xlt 4 tjxc 63 81157 09 10 2025 17 59 786564 a ford ranger xlt 4 tjxc 63 81157 09 10 2025 17 59 786564,FORD RANGER XLT 4 TJXC-63 81157 09/10/2025 17:59 786564,A@FORD RANGER XLT 4 TJXC-63 81157 09/10/2025 17:59 786564,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford ranger xlt 4 tjxc 63 81157 14 11 2025 11 31 794455 a ford ranger xlt 4 tjxc 63 81157 14 11 2025 11 31 794455,FORD RANGER XLT 4 TJXC-63 81157 14/11/2025 11:31 794455,A@FORD RANGER XLT 4 TJXC-63 81157 14/11/2025 11:31 794455,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,imto imto,IMTO,IMTO,Procarne Comercial S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
1,COMPRAS,instalacion de bomba rovatti nueva 45 45 45 45 retira sr javier mu deg oz,INSTALACION DE BOMBA ROVATTI NUEVA,&#45;&#45;&#45;&#45; RETIRA SR JAVIER MU&deg;OZ,ENTRE RIEGOS DEL SUR SPA,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
1,COMPRAS,leasing 614266 agosto 2025 cuota 3 de 37 leasing 614266 agosto 2025 cuota 3 de 37,LEASING 614266 AGOSTO 2025 CUOTA 3 DE 37,LEASING 614266 AGOSTO 2025 CUOTA 3 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 diciembre 2025 cuota 7 de leasing 614266 diciembre 2025 cuota 7 de 37,LEASING 614266 DICIEMBRE 2025 CUOTA 7 DE,LEASING 614266 DICIEMBRE 2025 CUOTA 7 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 enero 2026 cuota 8 de 37 leasing 614266 enero 2026 cuota 8 de 37,LEASING 614266 ENERO 2026 CUOTA 8 DE 37,LEASING 614266 ENERO 2026 CUOTA 8 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 febrero 2026 cuota 9 de 3 leasing 614266 febrero 2026 cuota 9 de 37,LEASING 614266 FEBRERO 2026 CUOTA 9 DE 3,LEASING 614266 FEBRERO 2026 CUOTA 9 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 julio 2025 cuota 2 de 37 leasing 614266 julio 2025 cuota 2 de 37,LEASING 614266 JULIO 2025 CUOTA 2 DE 37,LEASING 614266 JULIO 2025 CUOTA 2 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 junio 2025 cuota 1 de 37 leasing 614266 junio 2025 cuota 1 de 37,LEASING 614266 JUNIO 2025 CUOTA 1 DE 37,LEASING 614266 JUNIO 2025 CUOTA 1 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 noviembre 2025 cuota 6 de leasing 614266 noviembre 2025 cuota 6 de 37,LEASING 614266 NOVIEMBRE 2025 CUOTA 6 DE,LEASING 614266 NOVIEMBRE 2025 CUOTA 6 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 octubre 2025 cuota 5 de 3 leasing 614266 octubre 2025 cuota 5 de 37,LEASING 614266 OCTUBRE 2025 CUOTA 5 DE 3,LEASING 614266 OCTUBRE 2025 CUOTA 5 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614266 septiembre 2025 cuota 4 d leasing 614266 septiembre 2025 cuota 4 de 37,LEASING 614266 SEPTIEMBRE 2025 CUOTA 4 D,LEASING 614266 SEPTIEMBRE 2025 CUOTA 4 DE 37,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 agosto 2025 cuota 2 de 25 leasing 614747 agosto 2025 cuota 2 de 25,LEASING 614747 AGOSTO 2025 CUOTA 2 DE 25,LEASING 614747 AGOSTO 2025 CUOTA 2 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 diciembre 2025 cuota 6 de leasing 614747 diciembre 2025 cuota 6 de 25,LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE,LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 enero 2026 cuota 7 de 25 leasing 614747 enero 2026 cuota 7 de 25,LEASING 614747 ENERO 2026 CUOTA 7 DE 25,LEASING 614747 ENERO 2026 CUOTA 7 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 febrero 2026 cuota 8 de 2 leasing 614747 febrero 2026 cuota 8 de 25,LEASING 614747 FEBRERO 2026 CUOTA 8 DE 2,LEASING 614747 FEBRERO 2026 CUOTA 8 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 junio 2025 cuota 1 de 25 leasing 614747 junio 2025 cuota 1 de 25,LEASING 614747 JUNIO 2025 CUOTA 1 DE 25,LEASING 614747 JUNIO 2025 CUOTA 1 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 noviembre 2025 cuota 5 de leasing 614747 noviembre 2025 cuota 5 de 25,LEASING 614747 NOVIEMBRE 2025 CUOTA 5 DE,LEASING 614747 NOVIEMBRE 2025 CUOTA 5 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 octubre 2025 cuota 4 de 2 leasing 614747 octubre 2025 cuota 4 de 25,LEASING 614747 OCTUBRE 2025 CUOTA 4 DE 2,LEASING 614747 OCTUBRE 2025 CUOTA 4 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,leasing 614747 septiembre 2025 cuota 3 d leasing 614747 septiembre 2025 cuota 3 de 25,LEASING 614747 SEPTIEMBRE 2025 CUOTA 3 D,LEASING 614747 SEPTIEMBRE 2025 CUOTA 3 DE 25,Santander - Chile,amount_zero,EXCLUDE_JUNK,duplicate_lease_installment_note
1,COMPRAS,marca ford,MARCA: FORD,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,mo elec mec accesorios serviciostrabajos fue auto2 mo elec mec accesorios serviciostrabajos fue,MO elec Mec Accesorios ServiciosTrabajos Fue,AUTO2@MO elec Mec Accesorios ServiciosTrabajos Fue,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_service_columns
1,COMPRAS,mo elec mec repuestos accesorios serviciostrabajos fue auto2 mo elec mec repuestos accesorios serviciostrabajos fue,MO elec Mec Repuestos Accesorios ServiciosTrabajos Fue,AUTO2@MO elec Mec Repuestos Accesorios ServiciosTrabajos Fue,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_service_columns
1,COMPRAS,modelo f 150 lariat lux cc 4x4 5 0l,MODELO: F-150 LARIAT LUX CC 4X4 5.0L,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,motor nfb33530,MOTOR: NFB33530,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,observaciones atencion sr felipe anguita 56 9 9259 9535 pago transferencia electronica 28 05 2025 equipo con puesta en marcha probado en local,OBSERVACIONES,ATENCION SR. FELIPE ANGUITA +56 9 9259 9535 PAGO : TRANSFERENCIA ELECTRONICA 28 /05 / 2025 EQUIPO CON PUESTA EN MARCHA / PROBADO EN LOCAL,BOBINADOS INDUSTRIALES LONCOMILLA SPA,amount_zero,EXCLUDE_JUNK,observations_note
1,COMPRAS,observaciones pago transferencia electronica 28 05 2025 equipo con puesta en marcha probado en local,OBSERVACIONES,PAGO : TRANSFERENCIA ELECTRONICA 28/05/2025 EQUIPO CON PUESTA EN MARCHA / PROBADO EN LOCAL,BOBINADOS INDUSTRIALES LONCOMILLA SPA,amount_zero,EXCLUDE_JUNK,observations_note
1,COMPRAS,observaciones pago transferencia equipo con puesta en marcha,OBSERVACIONES,PAGO TRANSFERENCIA EQUIPO CON PUESTA EN MARCHA,BOBINADOS INDUSTRIALES LONCOMILLA SPA,amount_zero,EXCLUDE_JUNK,observations_note
1,COMPRAS,observaciones tarjeta credito,OBSERVACIONES,TARJETA CREDITO,BOBINADOS INDUSTRIALES LONCOMILLA SPA,amount_zero,EXCLUDE_JUNK,observations_note
1,COMPRAS,observaciones transferencia electronica contacto mantencion bobinadosloncomilla cl serviciotecnico bobinadosloncomilla cl telefono 56 85012109 64 2 24350,OBSERVACIONES,TRANSFERENCIA ELECTRONICA Contacto: ( mantencion@bobinadosloncomilla.cl - serviciotecnico@bobinadosloncomilla.cl ) Teléfono: +56 85012109 / (64) 2 24350,BOBINADOS INDUSTRIALES LONCOMILLA SPA,amount_zero,EXCLUDE_JUNK,observations_note
1,COMPRAS,observaciones transferencia electronica cotizacion valida por 10 dias,OBSERVACIONES,TRANSFERENCIA ELECTRONICA Cotización valida por 10 días.,BOBINADOS INDUSTRIALES LONCOMILLA SPA,amount_zero,EXCLUDE_JUNK,observations_note
1,COMPRAS,oc 1424072597 do 398213922642,OC 1424072597/ DO 398213922642,,SODIMAC S.A.,amount_zero,EXCLUDE_JUNK,purchase_order_reference
1,COMPRAS,patente tbfk 28 2,PATENTE: TBFK.28-2,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,patente tysz10,Patente: TYSZ10,,Automotriz Servimaq SPA,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,peso bruto vehicular 3175 kg,PESO BRUTO VEHICULAR: 3175 KG,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,recuerde programar su proxima visita a servicio al numero 600 262 05 55 a recuerde programar su proxima visita a servicio al numero 600 262 05 55,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,A@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_reminder
1,COMPRAS,repuestos servicios a repuestos servicios,Repuestos Servicios,A@Repuestos Servicios,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_service_columns
1,COMPRAS,s md80 octava mantencion a s md80 octava mantencion,S-MD80 OCTAVA MANTENCION,A@S-MD80 OCTAVA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
1,COMPRAS,s md90 novena mantencion a s md90 novena mantencion,S-MD90 NOVENA MANTENCION,A@S-MD90 NOVENA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
1,COMPRAS,s w,S.W.,,PINTURAS BARENDS SpA,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
1,COMPRAS,sco mo 13 revisi n de mantenci n cambiar plum a sco mo 13 revisi n de mantenci n cambiar plum,"SCO-MO 13? REVISI?N DE MANTENCI?N, CAMBIAR PLUM","A@SCO-MO 13? REVISI?N DE MANTENCI?N, CAMBIAR PLUM",DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo 14 revisi n de mantenci n a sco mo 14 revisi n de mantenci n,SCO-MO 14? REVISI?N DE MANTENCI?N,A@SCO-MO 14? REVISI?N DE MANTENCI?N,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo 16 revisi n de mantenci n a sco mo 16 revisi n de mantenci n,SCO-MO 16? REVISI?N DE MANTENCI?N,A@SCO-MO 16? REVISI?N DE MANTENCI?N,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo a alta velocidad vibra demasiado la cami a sco mo a alta velocidad vibra demasiado la cami,SCO-MO A ALTA VELOCIDAD VIBRA DEMASIADO LA CAMI,A@SCO-MO A ALTA VELOCIDAD VIBRA DEMASIADO LA CAMI,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo afirmar guardafango trasero lado chofer a sco mo afirmar guardafango trasero lado chofer,SCO-MO AFIRMAR GUARDAFANGO TRASERO LADO CHOFER,A@SCO-MO AFIRMAR GUARDAFANGO TRASERO LADO CHOFER,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo alineacion a sco mo alineacion,SCO-MO ALINEACION,A@SCO-MO ALINEACION,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo cambiar espejo retrovisor derecho a sco mo cambiar espejo retrovisor derecho,SCO-MO CAMBIAR ESPEJO RETROVISOR DERECHO,A@SCO-MO CAMBIAR ESPEJO RETROVISOR DERECHO,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo cambio extintor a sco mo cambio extintor,SCO-MO CAMBIO EXTINTOR,A@SCO-MO CAMBIO EXTINTOR,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo con lavado por pagar a sco mo con lavado por pagar,SCO-MO CON LAVADO POR PAGAR,A@SCO-MO CON LAVADO POR PAGAR,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo cotizar moldura de plastico a sco mo cotizar moldura de plastico,SCO-MO COTIZAR MOLDURA DE PLASTICO,A@SCO-MO COTIZAR MOLDURA DE PLASTICO,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo instalar tapa escalera a sco mo instalar tapa escalera,SCO-MO INSTALAR TAPA ESCALERA,A@SCO-MO INSTALAR TAPA ESCALERA,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo mano de obra cambio kit distribucion a sco mo mano de obra cambio kit distribucion,SCO-MO MANO DE OBRA CAMBIO KIT DISTRIBUCION,A@SCO-MO MANO DE OBRA CAMBIO KIT DISTRIBUCION,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo mantencion 110 000kms a sco mo mantencion 110 000kms,SCO-MO MANTENCION 110.000KMS,A@SCO-MO MANTENCION 110.000KMS,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo mantencion 170 000kms a sco mo mantencion 170 000kms,SCO-MO MANTENCION 170.000KMS,A@SCO-MO MANTENCION 170.000KMS,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo pisadera derecha copiloto no siempre baj a sco mo pisadera derecha copiloto no siempre baj,SCO-MO PISADERA DERECHA COPILOTO NO SIEMPRE BAJ,A@SCO-MO PISADERA DERECHA COPILOTO NO SIEMPRE BAJ,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo puerta lado chofer cruje siempre a sco mo puerta lado chofer cruje siempre,SCO-MO PUERTA LADO CHOFER CRUJE SIEMPRE,A@SCO-MO PUERTA LADO CHOFER CRUJE SIEMPRE,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo rectificado tambores traseros a sco mo rectificado tambores traseros,SCO-MO RECTIFICADO TAMBORES TRASEROS,A@SCO-MO RECTIFICADO TAMBORES TRASEROS,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo rectificar discos delanteros a sco mo rectificar discos delanteros,SCO-MO RECTIFICAR DISCOS DELANTEROS,A@SCO-MO RECTIFICAR DISCOS DELANTEROS,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo reparacion de frenos completos a sco mo reparacion de frenos completos,SCO-MO REPARACION DE FRENOS COMPLETOS,A@SCO-MO REPARACION DE FRENOS COMPLETOS,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar aceleracion mas lenta al exigirl a sco mo revisar aceleracion mas lenta al exigirl,SCO-MO REVISAR ACELERACION MAS LENTA AL EXIGIRL,A@SCO-MO REVISAR ACELERACION MAS LENTA AL EXIGIRL,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar audio pantalla camara se desc a sco mo revisar audio pantalla camara se desc,"SCO-MO REVISAR AUDIO, PANTALLA, CAMARA. SE DESC","A@SCO-MO REVISAR AUDIO, PANTALLA, CAMARA. SE DESC",DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar bocina a sco mo revisar bocina,SCO-MO REVISAR BOCINA,A@SCO-MO REVISAR BOCINA,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar conectividad con celular se con a sco mo revisar conectividad con celular se con,"SCO-MO REVISAR CONECTIVIDAD CON CELULAR, SE CON","A@SCO-MO REVISAR CONECTIVIDAD CON CELULAR, SE CON",DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar filtracion de agua en piso chofe a sco mo revisar filtracion de agua en piso chofe,SCO-MO REVISAR FILTRACION DE AGUA EN PISO CHOFE,A@SCO-MO REVISAR FILTRACION DE AGUA EN PISO CHOFE,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar funcionamiento del sistema opera a sco mo revisar funcionamiento del sistema opera,SCO-MO REVISAR FUNCIONAMIENTO DEL SISTEMA OPERA,A@SCO-MO REVISAR FUNCIONAMIENTO DEL SISTEMA OPERA,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar radio en ocaciones se pega a sco mo revisar radio en ocaciones se pega,SCO-MO REVISAR RADIO EN OCACIONES SE PEGA,A@SCO-MO REVISAR RADIO EN OCACIONES SE PEGA,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar radio se sigue desconectando el a sco mo revisar radio se sigue desconectando el,SCO-MO REVISAR RADIO SE SIGUE DESCONECTANDO EL,A@SCO-MO REVISAR RADIO SE SIGUE DESCONECTANDO EL,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar ruido en traccion al momento de a sco mo revisar ruido en traccion al momento de,SCO-MO REVISAR RUIDO EN TRACCION AL MOMENTO DE,A@SCO-MO REVISAR RUIDO EN TRACCION AL MOMENTO DE,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar sistema de direccion a sco mo revisar sistema de direccion,SCO-MO REVISAR SISTEMA DE DIRECCION,A@SCO-MO REVISAR SISTEMA DE DIRECCION,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar suspension delantera no se pudo a sco mo revisar suspension delantera no se pudo,"SCO-MO REVISAR SUSPENSION DELANTERA, NO SE PUDO","A@SCO-MO REVISAR SUSPENSION DELANTERA, NO SE PUDO",DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo revisar vibracion rueda delantera izquie a sco mo revisar vibracion rueda delantera izquie,SCO-MO REVISAR VIBRACION RUEDA DELANTERA IZQUIE,A@SCO-MO REVISAR VIBRACION RUEDA DELANTERA IZQUIE,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,sco mo sigue gastando los neumaticos delanteros a sco mo sigue gastando los neumaticos delanteros,SCO-MO SIGUE GASTANDO LOS NEUMATICOS DELANTEROS,A@SCO-MO SIGUE GASTANDO LOS NEUMATICOS DELANTEROS,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_request_note
1,COMPRAS,segun guias g0371619,Segun Guias,"G0371619,",BOTTAI S.A.,amount_zero,EXCLUDE_JUNK,delivery_reference
1,COMPRAS,seguro,SEGURO,,COMERCIAL E INVERSIONES SERVICID LTDA.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
1,COMPRAS,taller ford osorno a taller ford osorno,Taller Ford Osorno.,A@Taller Ford Osorno.,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_footer
1,COMPRAS,tipo combustible gasolina,TIPO COMBUSTIBLE: GASOLINA,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,total gasolina sp 93 octanos nu 1203 100 812 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 100,812|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 101 751 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 101,751|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 102 198 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 102,198|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 105 329 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 105,329|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 105 953 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 105,953|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 106 064 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 106,064|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 107 440 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 107,440|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 117 918 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 117,918|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 20 100 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 20,100|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 29 764 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 29,764|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 31 646 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 31,646|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 35 321 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 35,321|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 38 018 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 38,018|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 42 750 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 42,750|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 43 831 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 43,831|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 44 663 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 44,663|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 46 382 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 46,382|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
1,COMPRAS,total gasolina sp 93 octanos nu 1203 49 666 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 49,666|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
